Machine name,Title,Case manager role,Defined in,Timeline / workflow,Current description,Proposed description,Security/ACL,Owner,Status,Last reviewed
eic_awardee_onboarding,EIC Awardee Onboarding,KAM (EIC_KAM_Is),eic_eu_survey_form_processor,"Open Case (completed on open). Holds the EIC Accelerator Onboarding Survey Data activity when the survey is imported.",,"Tracks onboarding of a funded EIC beneficiary - one case per project (matched on company PIC + case title + EIC Project ID). The KAM is the case manager. When the beneficiary's EU-Survey is imported and matched to this case, the case is automatically set to Onboarded and a Service Request case is opened for each support programme the company requested. Created and matched by the EU-Survey onboarding import.",,,Active,
eic_investor_onboarding,Investor Onboarding,Case Coordinator,nc_config,"Outreach timeline (Outreach Response follow-up) then Onboarding timeline (Onboarding Call, Onboarding Survey).",Onboarding an investor organisation. Runs an Outreach timeline (Outreach Response follow-up) followed by an Onboarding timeline (Onboarding Call and Onboarding Survey). Case Coordinator is the case manager.,Onboarding an investor organisation. Runs an Outreach timeline (Outreach Response follow-up) followed by an Onboarding timeline (Onboarding Call and Onboarding Survey). Case Coordinator is the case manager.,,,Active,
eic_engagement,Engagement,Case Coordinator,nc_config,"Expression of Interest Response follow-up, then Introduction Response follow-up (~3 weeks later).",General engagement and outreach timeline for a contact: an Expression of Interest Response follow-up, then an Introduction Response follow-up about three weeks later. Case Coordinator is the case manager.,General engagement and outreach timeline for a contact: an Expression of Interest Response follow-up, then an Introduction Response follow-up about three weeks later. Case Coordinator is the case manager.,,,Active,
eic_vm_beneficiary_onboarding,VentureMatch Beneficiary Onboarding,Case Coordinator,nc_config,"Outreach timeline (Outreach Response follow-up) then Onboarding timeline (Beneficiary Onboarding Survey task, Onboarding Call).",Onboarding a beneficiary into VentureMatch. Runs an Outreach timeline (Outreach Response follow-up) followed by an Onboarding timeline (Beneficiary Onboarding Survey task and Onboarding Call). Case Coordinator is the case manager.,Onboarding a beneficiary into VentureMatch. Runs an Outreach timeline (Outreach Response follow-up) followed by an Onboarding timeline (Beneficiary Onboarding Survey task and Onboarding Call). Case Coordinator is the case manager.,,,Active,
eic_vm_beneficiary_support,VentureMatch Beneficiary Support,Case Coordinator,nc_config,"Support timeline: Planning task then Execution task.",Ongoing VentureMatch support for a beneficiary after onboarding, run as a Support timeline of two tasks: Planning then Execution. Case Coordinator is the case manager.,Ongoing VentureMatch support for a beneficiary after onboarding, run as a Support timeline of two tasks: Planning then Execution. Case Coordinator is the case manager.,,,Active,
eic_sr_venturematch,Service Request - EIC VentureMatch,Case Coordinator (empty at creation),eic_eu_survey_form_processor,"Opened by the EU-Survey import when the VentureMatch trigger answer matches.",,"Request for the EIC VentureMatch business-support service. Opened automatically by the EU-Survey onboarding import when the beneficiary's answer triggers it. Links back to the originating EU-Survey activity. Also carries the EIC Awardee information group (EIC project context: PIC, Project ID, Acronym, Funding, Category, Funding Type, Cut-Off-Date), populated from the matched EIC Project by the EU-Survey import (may be empty if no project matched). Case Coordinator is intentionally empty at creation.",,,Active,
eic_sr_coaching,Service Request - EIC Coaching,Case Coordinator (empty at creation),eic_eu_survey_form_processor,"Opened by the EU-Survey import when the Coaching trigger answer matches.",,"Request for the EIC Coaching business-support service. Opened automatically by the EU-Survey onboarding import when the beneficiary's answer triggers it. Links back to the originating EU-Survey activity. Also carries the EIC Awardee information group (EIC project context: PIC, Project ID, Acronym, Funding, Category, Funding Type, Cut-Off-Date), populated from the matched EIC Project by the EU-Survey import (may be empty if no project matched). Case Coordinator is intentionally empty at creation.",,,Active,
eic_sr_ecosystem_partnership,Service Request - EIC Ecosystem Partnership,Case Coordinator (empty at creation),eic_eu_survey_form_processor,"Opened by the EU-Survey import when the Ecosystem Partnership trigger (other-support answer not empty) matches.",,"Request for the EIC Ecosystem Partnership business-support service. Opened automatically by the EU-Survey onboarding import when the beneficiary's answer triggers it. Links back to the originating EU-Survey activity. Also carries the EIC Awardee information group (EIC project context: PIC, Project ID, Acronym, Funding, Category, Funding Type, Cut-Off-Date), populated from the matched EIC Project by the EU-Survey import (may be empty if no project matched). Case Coordinator is intentionally empty at creation.",,,Active,
eic_sr_global_business_expansion,Service Request - EIC Global Business Expansion,Case Coordinator (empty at creation),eic_eu_survey_form_processor,"Opened by the EU-Survey import when the Global Business Expansion trigger answer matches.",,"Request for the EIC Global Business Expansion business-support service. Opened automatically by the EU-Survey onboarding import when the beneficiary's answer triggers it. Links back to the originating EU-Survey activity. Also carries the EIC Awardee information group (EIC project context: PIC, Project ID, Acronym, Funding, Category, Funding Type, Cut-Off-Date), populated from the matched EIC Project by the EU-Survey import (may be empty if no project matched). Case Coordinator is intentionally empty at creation.",,,Active,
eic_sr_innovation_procurement,Service Request - EIC Innovation Procurement,Case Coordinator (empty at creation),eic_eu_survey_form_processor,"Opened by the EU-Survey import when the Innovation Procurement trigger answer matches.",,"Request for the EIC Innovation Procurement business-support service. Opened automatically by the EU-Survey onboarding import when the beneficiary's answer triggers it. Links back to the originating EU-Survey activity. Also carries the EIC Awardee information group (EIC project context: PIC, Project ID, Acronym, Funding, Category, Funding Type, Cut-Off-Date), populated from the matched EIC Project by the EU-Survey import (may be empty if no project matched). Case Coordinator is intentionally empty at creation.",,,Active,
eic_sr_women_leadership,Service Request - EIC Women Leadership Programme,Case Coordinator (empty at creation),eic_eu_survey_form_processor,"Opened by the EU-Survey import when the Women Leadership trigger answer matches.",,"Request for the EIC Women Leadership Programme business-support service. Opened automatically by the EU-Survey onboarding import when the beneficiary's answer triggers it. Links back to the originating EU-Survey activity. Also carries the EIC Awardee information group (EIC project context: PIC, Project ID, Acronym, Funding, Category, Funding Type, Cut-Off-Date), populated from the matched EIC Project by the EU-Survey import (may be empty if no project matched). Case Coordinator is intentionally empty at creation.",,,Active,
eic_sr_innonext,Service Request - EIC InnoNext,Case Coordinator (empty at creation),eic_eu_survey_form_processor,"Opened by the EU-Survey import when the main-challenge answer contains 'Human Resources'.",,"Request for the EIC InnoNext business-support service. Opened automatically by the EU-Survey onboarding import when the beneficiary's answer triggers it. Links back to the originating EU-Survey activity. Also carries the EIC Awardee information group (EIC project context: PIC, Project ID, Acronym, Funding, Category, Funding Type, Cut-Off-Date), populated from the matched EIC Project by the EU-Survey import (may be empty if no project matched). Case Coordinator is intentionally empty at creation.",,,Active,
eic_sr_corporate_partnership,Service Request - EIC Corporate Partnership,Case Coordinator (empty at creation),eic_eu_survey_form_processor,"Opened by the EU-Survey import when the Corporate Partnership trigger answer matches.",,"Request for the EIC Corporate Partnership business-support service. Opened automatically by the EU-Survey onboarding import when the beneficiary's answer triggers it. Links back to the originating EU-Survey activity. Also carries the EIC Awardee information group (EIC project context: PIC, Project ID, Acronym, Funding, Category, Funding Type, Cut-Off-Date), populated from the matched EIC Project by the EU-Survey import (may be empty if no project matched). Case Coordinator is intentionally empty at creation.",,,Active,
eic_sr_international_trade_fairs,Service Request - EIC International Trade Fairs,Case Coordinator (empty at creation),eic_eu_survey_form_processor,"Opened by the EU-Survey import when the International Trade Fairs trigger answer matches.",,"Request for the EIC International Trade Fairs business-support service. Opened automatically by the EU-Survey onboarding import when the beneficiary's answer triggers it. Links back to the originating EU-Survey activity. Also carries the EIC Awardee information group (EIC project context: PIC, Project ID, Acronym, Funding, Category, Funding Type, Cut-Off-Date), populated from the matched EIC Project by the EU-Survey import (may be empty if no project matched). Case Coordinator is intentionally empty at creation.",,,Active,
eic_sr_community,Service Request - EIC Community,Case Coordinator (empty at creation),eic_eu_survey_form_processor,"Shipped but not yet triggered (bonus, TBD).",,"Request for the EIC Community service. Shipped but not yet triggered by any survey answer (bonus, TBD). Links back to the originating EU-Survey activity. Also carries the EIC Awardee information group (EIC project context: PIC, Project ID, Acronym, Funding, Category, Funding Type, Cut-Off-Date), populated from the matched EIC Project by the EU-Survey import (may be empty if no project matched).",,,Shipped (not triggered),
