Machine name (A-B / B-A),Label (A-B),Label (B-A),Family,Contact A (type / sub-type),Contact B (type / sub-type),Defined in,Current description,Proposed description,Security/ACL,Owner,Status,Last reviewed
EIC_PCoco_For / EIC_PCoco_Is,PCoCo - EIC Project Primary Coordinator contact for,PCoCo - EIC Project Primary Coordinator contact is,F&TP portal role,Individual / EIC_Registered,Organization / EIC_Awardee,eic_config,"The Primary Coordinator Contact is for each project the main contact between the consortium and the EU for a particular project/contract","The Primary Coordinator Contact (PCoCo) is the main contact between the consortium and the EU for a particular project/contract.",,,Active,
EIC_Coco_For / EIC_Coco_Is,CoCo - EIC Project Coordinator Contact for,CoCo - EIC Project Coordinator Contact is,F&TP portal role,Individual / EIC_Registered,Organization / EIC_Awardee,eic_config,"Coordinator Contact (CoCo) are added by the PCoCo for the project/contract (unlimited number possible)","Coordinator Contact (CoCo), added by the PCoCo for the project/contract (unlimited number possible).",,,Active,
EIC_PaCo_For / EIC_PaCo_Is,PaCo - EIC Project Participant Contact for,PaCo - EIC Project Participant Contact is,F&TP portal role,Individual / EIC_Registered,Organization / EIC_Awardee,eic_config,"The Participant Contact (PaCo) is a representative of an organisation in the consortium that is not the coordinating organisation. An organisation can have an unlimited number of PaCos per project.","Participant Contact (PaCo): representative of a consortium organisation that is not the coordinating organisation. Unlimited number per project.",,,Active,
EIC_LEAR_For / EIC_LEAR_Is,LEAR - EIC Organisation Legal Entity Appointed Representative for,LEAR - EIC Organisation Legal Entity Appointed Representative is,F&TP portal role,Individual / EIC_Registered,Organization / EIC_Awardee,eic_config,"The LEAR (Organisation Legal Entity Appointed Representative) is the formally nominated main responsible for an organisation use of the Funding and Tender Portal and thus bears the final responsibility for all the organisation actions.","Legal Entity Appointed Representative (LEAR): formally nominated main responsible for the organisation's use of the Funding & Tenders Portal.",,,Active,
EIC Project member of / EIC Project member is,EIC Other Project member for,EIC Other Project member is,F&TP portal role,Individual / EIC_Registered,Organization / EIC_Awardee,eic_config,"Is part of an EIC project with another role than PCoCo, CoCo or PaCo","Part of an EIC project with a role other than PCoCo, CoCo or PaCo.",,,Active,
Main contact for / Main contact is,Main EIC BAS Contact for,Main EIC BAS Contact is,EU-Survey / BAS,Individual,Organization,eic_eu_survey_form_processor,"The main contact for the organisation regarding EIC Business Acceleration Services (BAS). Usually communicated by the beneficiary in Section 2 of the EU-Survey onboarding form, but can also be added manually. Links the primary contact person to the beneficiary organisation; the contact's declared role is stored on the Individual's job title.","The main contact for the organisation regarding EIC Business Acceleration Services (BAS). Usually communicated by the beneficiary in Section 2 of the EU-Survey onboarding form, but can also be added manually. Links the primary contact person to the beneficiary organisation; the contact's declared role is stored on the Individual's job title.",,,Active,Label renamed from 'Main contact'; machine name unchanged
Contact for / Contact is,EIC BAS Contact for,EIC BAS Contact is,EU-Survey / BAS,Individual,Organization,eic_eu_survey_form_processor,"An additional contact for the organisation regarding EIC Business Acceleration Services (BAS). Usually communicated by the beneficiary in the EU-Survey onboarding form (which allows up to three additional contacts, contacts 2 to 4, beyond the main contact), but can also be added manually. Links a contact person to the beneficiary organisation; the contact's declared role is stored on the Individual's job title.","An additional contact for the organisation regarding EIC Business Acceleration Services (BAS). Usually communicated by the beneficiary in the EU-Survey onboarding form (which allows up to three additional contacts, contacts 2 to 4, beyond the main contact), but can also be added manually. Links a contact person to the beneficiary organisation; the contact's declared role is stored on the Individual's job title.",,,Active,Label renamed from 'Contact'; machine name unchanged
EIC_KAM_For / EIC_KAM_Is,KAM for,KAM is,Internal (account),Individual,Organization,eic_config,"Key Account Manager (KAM) responsible for the organisation.","Key Account Manager (KAM) responsible for the organisation. On an EIC Awardee Onboarding case the KAM is the case manager (manager role EIC_KAM_Is). The onboarding case import finds the KAM by email (kam_email) and creates this relationship scoped to that case.",,,Active,
Investor at / Investor,Investor at,Investor,Investor,Individual / Investor_Representative,Organization / Investor,nc_config,,"Links an Investor Representative individual to their Investor organisation.",,,Active,
(to be created) / (to be created),Project Officer for,Project Officer is,Internal (EIC team),Individual,Organization,(planned - not in code yet),,"Planned internal EIC role: the Project Officer responsible for a beneficiary/project. Not yet implemented - to be added as a new relationship type analogous to KAM. See import-sync-eic-awardees spec Requirement 14.",,,Planned,
